Time,Home,Away,Status
"20:45","Galatasaray","Liverpool","Scheduled"
"23:00","Atalanta","Bayern Munich","Scheduled"
"23:00","Atl. Madrid","Tottenham","Scheduled"
"23:00","Newcastle","Barcelona","Scheduled"
"20:30","Floridsdorfer AC (-)","Bregenz (-)","Scheduled"
"20:30","Sturm Graz II (-)","Liefering (-)","Scheduled"
"22:00","Beerschot VA (-)","Anderlecht U23 (-)","Scheduled"
"22:00","Eupen (-)","K. Lierse S.K. (-)","Scheduled"
"22:00","Genk U23 (-)","Club Brugge KV U23 (-)","Scheduled"
"22:00","Patro Eisden (-)","RFC Liege (-)","Scheduled"
"20:30","Sloga Meridian (-)","Zeljeznicar (-)","Scheduled"
"20:00FRO","Centre Chiefs (-)","Jwaneng Galaxy (-)","Scheduled"
"21:00FRO","Athletico-PR U17 (-)","Sfera U17 (-)","Scheduled"
"21:00FRO","Cruzeiro U17 (-)","Goias U17 (-)","Scheduled"
"21:00FRO","Flamengo RJ U17 (-)","Atletico-MG U17 (-)","Scheduled"
"21:30FRO","Oratorio U17 (-)","IAPE U17 (-)","Scheduled"
"22:00FRO","Retro U17 (-)","CSA U17 (-)","Scheduled"
"22:00","Cruzeiro Arapiraca (-)","Dimensao Capela (-)","Scheduled"
"17:30FRO","Renaissance (-)","Emat (-)","Scheduled"
"17:30FRO","Stars J. Talents (-)","CotonTchad (-)","Scheduled"
"17:30FRO","Tourbillon (-)","Yves (-)","Scheduled"
"16:00FRO","Simba (-)","US Panda (-)","Scheduled"
"17:00FRO","FC Renaissance (-)","Maniema (-)","Scheduled"
"22:30","El Gouna (-)","Al Masry (-)","Scheduled"
"22:45","Leicester","Bristol City","Scheduled"
"22:45","Millwall","Derby","Scheduled"
"22:45","Portsmouth","Swansea","Scheduled"
"22:45","Sheffield Wed","Watford","Scheduled"
"22:45","Wrexham","Hull","Scheduled"
"23:00","Stoke","Ipswich","Scheduled"
"22:45","Barnsley","Cardiff","Scheduled"
"22:45","Doncaster","Luton","Scheduled"
"22:45","Exeter","Lincoln","Scheduled"
"22:45","Mansfield","Reading","Scheduled"
"22:45","Stevenage","Leyton Orient","Scheduled"
"22:45","Wigan","Plymouth","Scheduled"
"22:45","Barrow (-)","Bristol Rovers (-)","Scheduled"
"22:45","Fleetwood (-)","Cheltenham (-)","Scheduled"
"22:45","Gillingham (-)","MK Dons (-)","Scheduled"
"22:45","Salford (-)","Walsall (-)","Scheduled"
"21:00","Aston Villa U18 (-)","Crystal Palace U18 (-)","Scheduled"
"22:00","Blackburn U18 (-)","Burnley U18 (-)","Scheduled"
"21:00","Lyon W (-)","Le Havre W (-)","Scheduled"
"23:00","Ulfarnir (-)","Hamar (-)","Scheduled"
"22:30FRO","Thor/KA W (-)","Hafnarfjordur W (-)","Scheduled"
"23:30FRO","Breidablik W (-)","IBV Vestmannaeyjar W (-)","Scheduled"
"23:30FRO","Al Taawun (-)","Al Borouq (-)","Scheduled"
"23:30FRO","Al-Suqoor (-)","Al Ahly Benghazi (-)","Scheduled"
"21:00","Zalgiris (-)","Suduva (-)","Scheduled"
"22:45","Bangor FC (-)","Glentoran (-)","Scheduled"
"22:45","Crusaders (-)","Cliftonville (-)","Scheduled"
"22:45","Linfield (-)","Portadown (-)","Scheduled"
"22:45FRO","H&W Welders (-)","Dundela (-)","Scheduled"
"22:45FRO","Loughgall (-)","Ards (-)","Scheduled"
"22:45FRO","Warrenpoint (-)","Newington (-)","Scheduled"
"22:45","Ayr (-)","Queen's Park (-)","Scheduled"
"22:45","Peterhead (-)","Alloa (-)","Scheduled"
"22:45","Annan (-)","Elgin City (-)","Scheduled"
"22:45","Dumbarton (-)","Stranraer (-)","Scheduled"
"20:30","Orbit College (-)","Mamelodi Sundowns (-)","Scheduled"
"22:00","Hottin (-)","Al-Ittihad Aleppo (-)","Scheduled"
"20:30","Al Bataeh (-)","Ajman (-)","Scheduled"
"20:30","Al Dhafra (-)","Al Jazira (-)","Scheduled"
"22:30","Caerau Ely (-)","Treowen (-)","Scheduled"
"22:30","Cwmbran Celtic (-)","Llantwit Major (-)","Scheduled"
"22:45","Brickfield (-)","Airbus (-)","Scheduled"
"22:45","Flint Mountain (-)","Rhyl (-)","Scheduled"
"14:00FRO","Chernomorets Sevastopol (Ukr) (-)","Luki-Energiya (Rus) (-)","Scheduled"
"19:00FRO","Orgryte (Swe) (-)","Landvetter (Swe) (-)","Scheduled"
"21:00","GAIS (Swe) (-)","Varberg (Swe) (-)","Scheduled"
"21:30","Tvaaker (Swe) (-)","Halmia (Swe) (-)","Scheduled"
"22:00","Universitario de Vinto (Bol) (-)","Real Oruro (Bol) (-)","Scheduled"
"16:30FRO","Athletic Palermo U18 (Ita) (-)","Potey Keahson U18 (Ivo) (-)","Scheduled"
"16:30FRO","Crvena zvezda U18 (Srb) (-)","Ojodu City U18 (Nga) (-)","Scheduled"
"16:30FRO","Rijeka U18 (Cro) (-)","Olympique Thiessois U18 (Sen) (-)","Scheduled"
"16:30FRO","Westchester U18 (Usa) (-)","Pistoiese U18 (Ita) (-)","Scheduled"
"19:00FRO","Serie D team U18 (Ita) (-)","Future U18 (Nga) (-)","Scheduled"